Replacement Policy = LRU
-------------------------------------
Page   Content of Frames
69     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 
91     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 
14     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 
23     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 
59     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 
36     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 
69     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 
77     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 
47     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 
10     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 
78     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 
49     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 
22     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 
76     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 
32     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 
57     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 
51     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 
63     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 
18     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 
07     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 
89     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
05     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
15 F   15 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
13 F   15 13 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
21     15 13 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
91     15 13 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
27 F   15 13 17 27 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
71     15 13 17 27 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
67 F   15 13 17 27 67 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
05     15 13 17 27 67 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
26     15 13 17 27 67 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
24 F   15 13 17 27 67 69 24 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
09 F   15 13 17 27 67 69 24 09 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
50 F   15 13 17 27 67 69 24 09 32 50 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
69     15 13 17 27 67 69 24 09 32 50 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
50     15 13 17 27 67 69 24 09 32 50 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
61 F   15 13 17 27 67 69 24 09 32 50 26 61 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
02 F   15 13 17 27 67 69 24 09 32 50 26 61 02 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
34     15 13 17 27 67 69 24 09 32 50 26 61 02 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
74     15 13 17 27 67 69 24 09 32 50 26 61 02 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
06 F   15 13 17 27 67 69 24 09 32 50 26 61 02 06 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
87 F   15 13 17 27 67 69 24 09 32 50 26 61 02 06 87 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
74     15 13 17 27 67 69 24 09 32 50 26 61 02 06 87 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
22     15 13 17 27 67 69 24 09 32 50 26 61 02 06 87 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
26     15 13 17 27 67 69 24 09 32 50 26 61 02 06 87 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
21     15 13 17 27 67 69 24 09 32 50 26 61 02 06 87 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
97 F   15 13 17 27 67 69 24 09 32 50 26 61 02 06 87 97 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
67     15 13 17 27 67 69 24 09 32 50 26 61 02 06 87 97 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
05     15 13 17 27 67 69 24 09 32 50 26 61 02 06 87 97 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
06     15 13 17 27 67 69 24 09 32 50 26 61 02 06 87 97 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
36     15 13 17 27 67 69 24 09 32 50 26 61 02 06 87 97 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
63     15 13 17 27 67 69 24 09 32 50 26 61 02 06 87 97 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
55 F   15 13 17 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
87     15 13 17 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
38 F   15 13 17 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 77 10 38 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
03 F   15 13 17 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 77 10 38 03 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
08 F   15 13 17 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 77 10 38 03 14 08 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
20     15 13 17 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 77 10 38 03 14 08 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
43 F   15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 77 10 38 03 14 08 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
09     15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 77 10 38 03 14 08 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
49     15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 77 10 38 03 14 08 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
46 F   15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 77 10 38 03 14 08 05 57 80 46 34 85 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
40 F   15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 77 10 38 03 14 08 05 57 80 46 34 40 21 71 74 45 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
64 F   15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 77 10 38 03 14 08 05 57 80 46 34 40 21 71 74 64 90 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
84 F   15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 77 10 38 03 14 08 05 57 80 46 34 40 21 71 74 64 84 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
75 F   15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 77 10 38 03 14 08 05 57 75 46 34 40 21 71 74 64 84 51 20 53 78 23 59 36 47 49 22 76 63 18 89 
01 F   15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 77 10 38 03 14 08 05 57 75 46 34 40 21 71 74 64 84 51 20 01 78 23 59 36 47 49 22 76 63 18 89 
98 F   15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 77 10 38 03 98 08 05 57 75 46 34 40 21 71 74 64 84 51 20 01 78 23 59 36 47 49 22 76 63 18 89 
11 F   15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 77 10 38 03 98 08 05 57 75 46 34 40 21 71 74 64 84 51 20 01 78 11 59 36 47 49 22 76 63 18 89 
92 F   15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 77 10 38 03 98 08 05 57 75 46 34 40 21 71 74 64 84 51 20 01 78 11 92 36 47 49 22 76 63 18 89 
28 F   15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 28 10 38 03 98 08 05 57 75 46 34 40 21 71 74 64 84 51 20 01 78 11 92 36 47 49 22 76 63 18 89 
91     15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 28 10 38 03 98 08 05 57 75 46 34 40 21 71 74 64 84 51 20 01 78 11 92 36 47 49 22 76 63 18 89 
64     15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 28 10 38 03 98 08 05 57 75 46 34 40 21 71 74 64 84 51 20 01 78 11 92 36 47 49 22 76 63 18 89 
27     15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 28 10 38 03 98 08 05 57 75 46 34 40 21 71 74 64 84 51 20 01 78 11 92 36 47 49 22 76 63 18 89 
27     15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 28 10 38 03 98 08 05 57 75 46 34 40 21 71 74 64 84 51 20 01 78 11 92 36 47 49 22 76 63 18 89 
43     15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 28 10 38 03 98 08 05 57 75 46 34 40 21 71 74 64 84 51 20 01 78 11 92 36 47 49 22 76 63 18 89 
91     15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 28 10 38 03 98 08 05 57 75 46 34 40 21 71 74 64 84 51 20 01 78 11 92 36 47 49 22 76 63 18 89 
03     15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 28 10 38 03 98 08 05 57 75 46 34 40 21 71 74 64 84 51 20 01 78 11 92 36 47 49 22 76 63 18 89 
61     15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 28 10 38 03 98 08 05 57 75 46 34 40 21 71 74 64 84 51 20 01 78 11 92 36 47 49 22 76 63 18 89 
62 F   15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 28 10 38 03 98 08 05 57 75 46 34 40 21 71 74 64 84 51 20 01 78 11 92 36 62 49 22 76 63 18 89 
18     15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 28 10 38 03 98 08 05 57 75 46 34 40 21 71 74 64 84 51 20 01 78 11 92 36 62 49 22 76 63 18 89 
06     15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 28 10 38 03 98 08 05 57 75 46 34 40 21 71 74 64 84 51 20 01 78 11 92 36 62 49 22 76 63 18 89 
68 F   15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 28 68 38 03 98 08 05 57 75 46 34 40 21 71 74 64 84 51 20 01 78 11 92 36 62 49 22 76 63 18 89 
78     15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 28 68 38 03 98 08 05 57 75 46 34 40 21 71 74 64 84 51 20 01 78 11 92 36 62 49 22 76 63 18 89 
85 F   15 13 43 27 67 69 24 09 32 50 26 61 02 06 87 97 07 55 91 28 68 38 03 98 08 05 57 75 46 34 40 21 71 74 64 84 51 20 01 78 11 92 36 62 49 22 85 63 18 89 
73 F   15 13 43 27 67 69 24 09 73 50 26 61 02 06 87 97 07 55 91 28 68 38 03 98 08 05 57 75 46 34 40 21 71 74 64 84 51 20 01 78 11 92 36 62 49 22 85 63 18 89 
68     15 13 43 27 67 69 24 09 73 50 26 61 02 06 87 97 07 55 91 28 68 38 03 98 08 05 57 75 46 34 40 21 71 74 64 84 51 20 01 78 11 92 36 62 49 22 85 63 18 89 
37 F   15 13 43 27 67 69 24 09 73 50 26 61 02 06 87 97 07 55 91 28 68 38 03 98 08 05 37 75 46 34 40 21 71 74 64 84 51 20 01 78 11 92 36 62 49 22 85 63 18 89 
10 F   15 13 43 27 67 69 24 09 73 50 26 61 02 06 87 97 07 55 91 28 68 38 03 98 08 05 37 75 46 34 40 21 71 74 64 84 10 20 01 78 11 92 36 62 49 22 85 63 18 89 
42 F   15 13 43 27 67 69 24 09 73 50 26 61 02 06 87 97 42 55 91 28 68 38 03 98 08 05 37 75 46 34 40 21 71 74 64 84 10 20 01 78 11 92 36 62 49 22 85 63 18 89 
16 F   15 13 43 27 67 69 24 09 73 50 26 61 02 06 87 97 42 55 91 28 68 38 03 98 08 05 37 75 46 34 40 21 71 74 64 84 10 20 01 78 11 92 36 62 49 22 85 63 18 16 
70 F   70 13 43 27 67 69 24 09 73 50 26 61 02 06 87 97 42 55 91 28 68 38 03 98 08 05 37 75 46 34 40 21 71 74 64 84 10 20 01 78 11 92 36 62 49 22 85 63 18 16 
08     70 13 43 27 67 69 24 09 73 50 26 61 02 06 87 97 42 55 91 28 68 38 03 98 08 05 37 75 46 34 40 21 71 74 64 84 10 20 01 78 11 92 36 62 49 22 85 63 18 16 
35 F   70 35 43 27 67 69 24 09 73 50 26 61 02 06 87 97 42 55 91 28 68 38 03 98 08 05 37 75 46 34 40 21 71 74 64 84 10 20 01 78 11 92 36 62 49 22 85 63 18 16 
64     70 35 43 27 67 69 24 09 73 50 26 61 02 06 87 97 42 55 91 28 68 38 03 98 08 05 37 75 46 34 40 21 71 74 64 84 10 20 01 78 11 92 36 62 49 22 85 63 18 16 
78     70 35 43 27 67 69 24 09 73 50 26 61 02 06 87 97 42 55 91 28 68 38 03 98 08 05 37 75 46 34 40 21 71 74 64 84 10 20 01 78 11 92 36 62 49 22 85 63 18 16 
33 F   70 35 43 27 67 69 24 09 73 50 26 61 02 06 87 97 42 55 91 28 68 38 03 98 08 05 37 75 46 34 40 21 33 74 64 84 10 20 01 78 11 92 36 62 49 22 85 63 18 16 
88 F   70 35 43 27 67 69 88 09 73 50 26 61 02 06 87 97 42 55 91 28 68 38 03 98 08 05 37 75 46 34 40 21 33 74 64 84 10 20 01 78 11 92 36 62 49 22 85 63 18 16 
47 F   70 35 43 27 67 47 88 09 73 50 26 61 02 06 87 97 42 55 91 28 68 38 03 98 08 05 37 75 46 34 40 21 33 74 64 84 10 20 01 78 11 92 36 62 49 22 85 63 18 16 
89 F   70 35 43 27 67 47 88 09 73 89 26 61 02 06 87 97 42 55 91 28 68 38 03 98 08 05 37 75 46 34 40 21 33 74 64 84 10 20 01 78 11 92 36 62 49 22 85 63 18 16 
20     70 35 43 27 67 47 88 09 73 89 26 61 02 06 87 97 42 55 91 28 68 38 03 98 08 05 37 75 46 34 40 21 33 74 64 84 10 20 01 78 11 92 36 62 49 22 85 63 18 16 
81 F   70 35 43 27 67 47 88 09 73 89 26 61 81 06 87 97 42 55 91 28 68 38 03 98 08 05 37 75 46 34 40 21 33 74 64 84 10 20 01 78 11 92 36 62 49 22 85 63 18 16 
73     70 35 43 27 67 47 88 09 73 89 26 61 81 06 87 97 42 55 91 28 68 38 03 98 08 05 37 75 46 34 40 21 33 74 64 84 10 20 01 78 11 92 36 62 49 22 85 63 18 16 
09     70 35 43 27 67 47 88 09 73 89 26 61 81 06 87 97 42 55 91 28 68 38 03 98 08 05 37 75 46 34 40 21 33 74 64 84 10 20 01 78 11 92 36 62 49 22 85 63 18 16 
60 F   70 35 43 27 67 47 88 09 73 89 26 61 81 06 87 97 42 55 91 28 68 38 03 98 08 05 37 75 46 60 40 21 33 74 64 84 10 20 01 78 11 92 36 62 49 22 85 63 18 16 
67     70 35 43 27 67 47 88 09 73 89 26 61 81 06 87 97 42 55 91 28 68 38 03 98 08 05 37 75 46 60 40 21 33 74 64 84 10 20 01 78 11 92 36 62 49 22 85 63 18 16 
09     70 35 43 27 67 47 88 09 73 89 26 61 81 06 87 97 42 55 91 28 68 38 03 98 08 05 37 75 46 60 40 21 33 74 64 84 10 20 01 78 11 92 36 62 49 22 85 63 18 16 
67     70 35 43 27 67 47 88 09 73 89 26 61 81 06 87 97 42 55 91 28 68 38 03 98 08 05 37 75 46 60 40 21 33 74 64 84 10 20 01 78 11 92 36 62 49 22 85 63 18 16 
86 F   70 35 43 27 67 47 88 09 73 89 26 61 81 06 87 97 42 55 91 28 68 38 03 98 08 05 37 75 46 60 40 21 33 86 64 84 10 20 01 78 11 92 36 62 49 22 85 63 18 16 
32 F   70 35 43 27 67 47 88 09 73 89 26 61 81 06 87 97 42 55 91 28 68 38 03 98 08 05 37 75 46 60 40 21 33 86 64 84 10 20 01 78 11 92 36 62 49 32 85 63 18 16 
65 F   70 35 43 27 67 47 88 09 73 89 65 61 81 06 87 97 42 55 91 28 68 38 03 98 08 05 37 75 46 60 40 21 33 86 64 84 10 20 01 78 11 92 36 62 49 32 85 63 18 16 
02 F   70 35 43 27 67 47 88 09 73 89 65 61 81 06 87 97 42 55 91 28 68 38 03 98 08 05 37 75 46 60 40 02 33 86 64 84 10 20 01 78 11 92 36 62 49 32 85 63 18 16 
26 F   70 35 43 27 67 47 88 09 73 89 65 61 81 06 87 26 42 55 91 28 68 38 03 98 08 05 37 75 46 60 40 02 33 86 64 84 10 20 01 78 11 92 36 62 49 32 85 63 18 16 
87     70 35 43 27 67 47 88 09 73 89 65 61 81 06 87 26 42 55 91 28 68 38 03 98 08 05 37 75 46 60 40 02 33 86 64 84 10 20 01 78 11 92 36 62 49 32 85 63 18 16 
26     70 35 43 27 67 47 88 09 73 89 65 61 81 06 87 26 42 55 91 28 68 38 03 98 08 05 37 75 46 60 40 02 33 86 64 84 10 20 01 78 11 92 36 62 49 32 85 63 18 16 
