Replacement Policy = LRU
-------------------------------------
Page   Content of Frames
99     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 
12     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 
17     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 
95     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 
87     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 
53     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 
93     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 
64     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 
53     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 
23     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 
50     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 
21     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 
81     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 
58     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 
16     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 
52     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 
64     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 
11     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
64     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
90     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
38     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
52     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
49     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
76 F   76 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
22     76 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
58     76 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
80 F   76 80 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
46 F   76 80 38 46 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
79 F   76 80 38 46 79 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
42 F   76 80 38 46 79 25 49 42 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
64     76 80 38 46 79 25 49 42 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
89 F   76 80 38 46 79 89 49 42 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
38     76 80 38 46 79 89 49 42 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
72 F   76 80 38 46 79 89 49 42 72 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
85     76 80 38 46 79 89 49 42 72 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
02 F   76 80 38 46 79 89 49 42 72 02 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
14 F   76 80 38 46 79 89 49 42 72 02 44 14 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
25 F   76 80 38 46 79 89 49 42 72 02 44 14 39 25 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
82 F   76 80 38 46 79 89 49 42 72 02 44 14 39 25 15 82 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
77 F   76 80 38 46 79 89 49 42 72 02 44 14 39 25 15 82 77 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
07     76 80 38 46 79 89 49 42 72 02 44 14 39 25 15 82 77 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
11     76 80 38 46 79 89 49 42 72 02 44 14 39 25 15 82 77 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
92 F   76 80 38 46 79 89 49 42 72 02 44 14 39 25 92 82 77 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
51     76 80 38 46 79 89 49 42 72 02 44 14 39 25 92 82 77 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
49     76 80 38 46 79 89 49 42 72 02 44 14 39 25 92 82 77 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
86 F   76 80 38 46 79 89 49 42 72 02 44 14 39 25 92 82 77 86 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
49     76 80 38 46 79 89 49 42 72 02 44 14 39 25 92 82 77 86 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
07     76 80 38 46 79 89 49 42 72 02 44 14 39 25 92 82 77 86 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
12     76 80 38 46 79 89 49 42 72 02 44 14 39 25 92 82 77 86 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
23     76 80 38 46 79 89 49 42 72 02 44 14 39 25 92 82 77 86 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
92     76 80 38 46 79 89 49 42 72 02 44 14 39 25 92 82 77 86 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
75 F   76 80 38 46 79 89 49 42 72 02 44 14 39 25 92 82 77 86 90 75 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
83 F   76 80 38 46 79 89 49 42 72 02 44 14 39 25 92 82 77 86 90 75 83 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
24 F   76 80 38 46 79 89 49 42 72 02 44 14 39 25 92 82 77 86 90 75 83 24 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
53     76 80 38 46 79 89 49 42 72 02 44 14 39 25 92 82 77 86 90 75 83 24 51 16 56 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
33 F   76 80 38 46 79 89 49 42 72 02 44 14 39 25 92 82 77 86 90 75 83 24 51 16 33 98 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
13 F   76 80 38 46 79 89 49 42 72 02 44 14 39 25 92 82 77 86 90 75 83 24 51 16 33 13 53 08 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
04 F   76 80 38 46 79 89 49 42 72 02 44 14 39 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
75     76 80 38 46 79 89 49 42 72 02 44 14 39 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
40 F   76 80 38 46 79 89 49 42 72 02 40 14 39 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
90     76 80 38 46 79 89 49 42 72 02 40 14 39 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 67 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
29 F   76 80 38 46 79 89 49 42 72 02 40 14 39 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
86     76 80 38 46 79 89 49 42 72 02 40 14 39 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
15 F   76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 62 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
69 F   76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 69 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
85     76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 69 43 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
54 F   76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 69 54 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
75     76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 69 54 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
53     76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 69 54 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
02     76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 69 54 88 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
63 F   76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 69 54 63 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
77     76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 69 54 63 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
82     76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 69 54 63 22 37 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
18 F   76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 69 54 63 22 18 99 12 17 95 87 93 64 23 50 21 81 58 52 11 
06 F   76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 69 54 63 22 18 06 12 17 95 87 93 64 23 50 21 81 58 52 11 
31 F   76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 95 87 93 64 23 50 21 81 58 52 11 
39 F   76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 87 93 64 23 50 21 81 58 52 11 
66 F   76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 93 64 23 50 21 81 58 52 11 
51     76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 93 64 23 50 21 81 58 52 11 
37 F   76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 64 23 50 21 81 58 52 11 
24     76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 64 23 50 21 81 58 52 11 
41 F   76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 64 23 41 21 81 58 52 11 
97 F   76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 64 23 41 97 81 58 52 11 
07     76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 64 23 41 97 81 58 52 11 
70 F   76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 64 23 41 97 70 58 52 11 
83     76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 64 23 41 97 70 58 52 11 
22     76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 16 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 64 23 41 97 70 58 52 11 
60 F   76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 64 23 41 97 70 58 52 11 
76     76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 64 23 41 97 70 58 52 11 
36 F   76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 64 23 41 97 70 58 36 11 
47 F   76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 64 23 41 97 70 47 36 11 
11     76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 64 23 41 97 70 47 36 11 
29     76 80 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 64 23 41 97 70 47 36 11 
09 F   76 09 38 46 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 64 23 41 97 70 47 36 11 
35 F   76 09 38 35 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 64 23 41 97 70 47 36 11 
31     76 09 38 35 79 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 64 23 41 97 70 47 36 11 
16 F   76 09 38 35 16 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 64 23 41 97 70 47 36 11 
37     76 09 38 35 16 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 64 23 41 97 70 47 36 11 
54     76 09 38 35 16 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 64 23 41 97 70 47 36 11 
66     76 09 38 35 16 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 64 23 41 97 70 47 36 11 
16     76 09 38 35 16 89 49 42 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 64 23 41 97 70 47 36 11 
52 F   76 09 38 35 16 89 49 52 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 64 23 41 97 70 47 36 11 
74 F   76 09 38 35 16 89 49 52 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 74 23 41 97 70 47 36 11 
50 F   76 09 38 35 16 50 49 52 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 74 23 41 97 70 47 36 11 
14     76 09 38 35 16 50 49 52 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 74 23 41 97 70 47 36 11 
90     76 09 38 35 16 50 49 52 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 74 23 41 97 70 47 36 11 
06     76 09 38 35 16 50 49 52 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 74 23 41 97 70 47 36 11 
49     76 09 38 35 16 50 49 52 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 74 23 41 97 70 47 36 11 
80 F   76 09 80 35 16 50 49 52 72 02 40 14 15 25 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 74 23 41 97 70 47 36 11 
91 F   76 09 80 35 16 50 49 52 91 02 40 14 15 25 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 74 23 41 97 70 47 36 11 
28 F   76 09 80 35 16 50 49 52 91 02 40 14 15 28 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 12 31 39 66 37 74 23 41 97 70 47 36 11 
87 F   76 09 80 35 16 50 49 52 91 02 40 14 15 28 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 87 31 39 66 37 74 23 41 97 70 47 36 11 
71 F   76 09 80 35 16 50 49 52 91 02 40 14 15 28 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 87 31 39 66 37 74 71 41 97 70 47 36 11 
14     76 09 80 35 16 50 49 52 91 02 40 14 15 28 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 87 31 39 66 37 74 71 41 97 70 47 36 11 
11     76 09 80 35 16 50 49 52 91 02 40 14 15 28 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 87 31 39 66 37 74 71 41 97 70 47 36 11 
06     76 09 80 35 16 50 49 52 91 02 40 14 15 28 92 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 87 31 39 66 37 74 71 41 97 70 47 36 11 
94 F   76 09 80 35 16 50 49 52 91 02 40 14 15 28 94 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 87 31 39 66 37 74 71 41 97 70 47 36 11 
41     76 09 80 35 16 50 49 52 91 02 40 14 15 28 94 82 77 86 90 75 83 24 51 60 33 13 53 04 29 07 85 69 54 63 22 18 06 87 31 39 66 37 74 71 41 97 70 47 36 11 
45 F   76 09 80 35 16 50 49 52 91 02 40 14 15 28 94 82 77 86 90 75 83 24 51 60 45 13 53 04 29 07 85 69 54 63 22 18 06 87 31 39 66 37 74 71 41 97 70 47 36 11 
