Replacement Policy = LRU
-------------------------------------
Page   Content of Frames
79 F   26 41 15 75 23 61 55 35 68 01 03 86 51 10 94 59 32 85 28 65 79 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
66 F   26 41 15 75 23 61 55 35 68 01 03 86 51 10 94 59 32 85 28 65 79 09 66 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
77 F   26 41 15 75 77 61 55 35 68 01 03 86 51 10 94 59 32 85 28 65 79 09 66 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
59     26 41 15 75 77 61 55 35 68 01 03 86 51 10 94 59 32 85 28 65 79 09 66 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
71 F   26 41 15 75 77 61 55 35 68 01 03 86 51 10 94 59 32 85 28 65 79 09 66 93 91 71 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
18 F   26 41 15 75 77 61 55 35 68 01 03 86 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
76     26 41 15 75 77 61 55 35 68 01 03 86 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
67     26 41 15 75 77 61 55 35 68 01 03 86 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
50     26 41 15 75 77 61 55 35 68 01 03 86 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
50     26 41 15 75 77 61 55 35 68 01 03 86 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
74 F   26 41 15 75 77 61 55 35 68 01 03 86 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 57 74 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
95 F   26 41 15 75 77 61 55 35 68 01 03 86 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 57 74 95 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
63 F   26 41 15 75 77 61 55 35 68 01 03 86 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 57 74 95 63 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
73 F   26 41 73 75 77 61 55 35 68 01 03 86 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 57 74 95 63 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
67     26 41 73 75 77 61 55 35 68 01 03 86 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 57 74 95 63 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
93     26 41 73 75 77 61 55 35 68 01 03 86 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 57 74 95 63 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
56 F   26 41 73 75 77 61 55 35 68 01 03 86 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 57 74 95 63 56 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
18     26 41 73 75 77 61 55 35 68 01 03 86 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 57 74 95 63 56 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
27 F   26 41 73 75 77 61 55 35 68 01 03 86 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 57 74 95 63 56 02 72 46 27 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
33 F   26 41 73 75 77 61 55 35 68 01 03 33 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 57 74 95 63 56 02 72 46 27 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
77     26 41 73 75 77 61 55 35 68 01 03 33 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 57 74 95 63 56 02 72 46 27 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
04 F   26 41 73 75 77 61 55 35 68 01 03 33 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 57 74 95 63 56 04 72 46 27 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
56     26 41 73 75 77 61 55 35 68 01 03 33 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 57 74 95 63 56 04 72 46 27 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
13     26 41 73 75 77 61 55 35 68 01 03 33 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 57 74 95 63 56 04 72 46 27 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
29 F   26 41 73 75 77 61 55 35 68 01 03 33 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 29 74 95 63 56 04 72 46 27 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
15 F   26 41 73 75 77 61 55 35 68 01 03 33 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 29 74 95 63 56 04 72 46 27 13 50 76 15 08 90 67 11 58 19 43 25 14 69 
13     26 41 73 75 77 61 55 35 68 01 03 33 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 29 74 95 63 56 04 72 46 27 13 50 76 15 08 90 67 11 58 19 43 25 14 69 
76     26 41 73 75 77 61 55 35 68 01 03 33 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 29 74 95 63 56 04 72 46 27 13 50 76 15 08 90 67 11 58 19 43 25 14 69 
78 F   26 41 73 75 77 61 55 35 68 01 03 33 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 29 74 95 63 56 04 72 46 27 13 50 76 15 78 90 67 11 58 19 43 25 14 69 
43     26 41 73 75 77 61 55 35 68 01 03 33 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 29 74 95 63 56 04 72 46 27 13 50 76 15 78 90 67 11 58 19 43 25 14 69 
13     26 41 73 75 77 61 55 35 68 01 03 33 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 29 74 95 63 56 04 72 46 27 13 50 76 15 78 90 67 11 58 19 43 25 14 69 
34 F   26 41 73 75 77 61 34 35 68 01 03 33 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 29 74 95 63 56 04 72 46 27 13 50 76 15 78 90 67 11 58 19 43 25 14 69 
74     26 41 73 75 77 61 34 35 68 01 03 33 51 10 94 59 32 85 28 65 79 09 66 93 91 71 18 29 74 95 63 56 04 72 46 27 13 50 76 15 78 90 67 11 58 19 43 25 14 69 
97 F   26 41 73 75 77 61 34 35 68 01 03 33 51 10 94 59 32 85 28 65 79 09 66 93 97 71 18 29 74 95 63 56 04 72 46 27 13 50 76 15 78 90 67 11 58 19 43 25 14 69 
47 F   26 41 73 75 77 61 34 35 68 01 03 33 51 10 94 59 32 85 28 65 79 09 66 93 97 71 18 29 74 95 63 56 04 72 46 27 13 50 76 15 78 47 67 11 58 19 43 25 14 69 
68     26 41 73 75 77 61 34 35 68 01 03 33 51 10 94 59 32 85 28 65 79 09 66 93 97 71 18 29 74 95 63 56 04 72 46 27 13 50 76 15 78 47 67 11 58 19 43 25 14 69 
37 F   26 41 73 75 77 61 34 35 68 01 03 33 51 10 94 59 32 85 28 65 79 09 66 93 97 71 18 29 74 95 63 56 04 72 46 27 13 50 76 15 78 47 67 37 58 19 43 25 14 69 
25     26 41 73 75 77 61 34 35 68 01 03 33 51 10 94 59 32 85 28 65 79 09 66 93 97 71 18 29 74 95 63 56 04 72 46 27 13 50 76 15 78 47 67 37 58 19 43 25 14 69 
52 F   26 41 73 75 77 61 34 35 68 01 03 33 51 10 94 59 32 85 28 65 79 09 66 93 97 71 18 29 74 95 63 56 04 72 46 27 13 50 76 15 78 47 67 37 58 52 43 25 14 69 
67     26 41 73 75 77 61 34 35 68 01 03 33 51 10 94 59 32 85 28 65 79 09 66 93 97 71 18 29 74 95 63 56 04 72 46 27 13 50 76 15 78 47 67 37 58 52 43 25 14 69 
90 F   26 41 73 75 77 61 34 35 68 01 03 33 51 10 94 59 32 85 28 65 79 09 66 93 97 71 18 29 74 95 63 56 04 72 46 27 13 50 76 15 78 47 67 37 90 52 43 25 14 69 
02 F   26 41 73 75 77 61 34 35 68 01 03 33 51 10 94 59 32 85 28 65 79 09 66 93 97 71 18 29 74 95 63 56 04 72 02 27 13 50 76 15 78 47 67 37 90 52 43 25 14 69 
12 F   26 41 73 75 77 61 34 35 68 01 03 33 51 10 94 59 32 85 28 65 79 12 66 93 97 71 18 29 74 95 63 56 04 72 02 27 13 50 76 15 78 47 67 37 90 52 43 25 14 69 
63     26 41 73 75 77 61 34 35 68 01 03 33 51 10 94 59 32 85 28 65 79 12 66 93 97 71 18 29 74 95 63 56 04 72 02 27 13 50 76 15 78 47 67 37 90 52 43 25 14 69 
76     26 41 73 75 77 61 34 35 68 01 03 33 51 10 94 59 32 85 28 65 79 12 66 93 97 71 18 29 74 95 63 56 04 72 02 27 13 50 76 15 78 47 67 37 90 52 43 25 14 69 
96 F   26 41 73 75 77 61 34 35 68 01 03 33 51 10 94 59 32 85 28 65 79 12 66 93 97 71 18 29 74 95 63 56 04 72 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 69 
94     26 41 73 75 77 61 34 35 68 01 03 33 51 10 94 59 32 85 28 65 79 12 66 93 97 71 18 29 74 95 63 56 04 72 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 69 
59     26 41 73 75 77 61 34 35 68 01 03 33 51 10 94 59 32 85 28 65 79 12 66 93 97 71 18 29 74 95 63 56 04 72 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 69 
98 F   98 41 73 75 77 61 34 35 68 01 03 33 51 10 94 59 32 85 28 65 79 12 66 93 97 71 18 29 74 95 63 56 04 72 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 69 
79     98 41 73 75 77 61 34 35 68 01 03 33 51 10 94 59 32 85 28 65 79 12 66 93 97 71 18 29 74 95 63 56 04 72 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 69 
22 F   98 41 73 22 77 61 34 35 68 01 03 33 51 10 94 59 32 85 28 65 79 12 66 93 97 71 18 29 74 95 63 56 04 72 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 69 
39 F   98 41 73 22 77 61 34 35 68 01 03 33 51 10 94 59 32 85 28 65 79 12 66 93 97 71 18 29 74 95 63 56 04 72 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 39 
70 F   98 70 73 22 77 61 34 35 68 01 03 33 51 10 94 59 32 85 28 65 79 12 66 93 97 71 18 29 74 95 63 56 04 72 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 39 
28     98 70 73 22 77 61 34 35 68 01 03 33 51 10 94 59 32 85 28 65 79 12 66 93 97 71 18 29 74 95 63 56 04 72 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 39 
18     98 70 73 22 77 61 34 35 68 01 03 33 51 10 94 59 32 85 28 65 79 12 66 93 97 71 18 29 74 95 63 56 04 72 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 39 
56     98 70 73 22 77 61 34 35 68 01 03 33 51 10 94 59 32 85 28 65 79 12 66 93 97 71 18 29 74 95 63 56 04 72 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 39 
16 F   98 70 73 22 77 61 34 16 68 01 03 33 51 10 94 59 32 85 28 65 79 12 66 93 97 71 18 29 74 95 63 56 04 72 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 39 
31 F   98 70 73 22 77 61 34 16 68 01 03 33 31 10 94 59 32 85 28 65 79 12 66 93 97 71 18 29 74 95 63 56 04 72 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 39 
36 F   98 70 73 22 77 61 34 16 68 36 03 33 31 10 94 59 32 85 28 65 79 12 66 93 97 71 18 29 74 95 63 56 04 72 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 39 
84 F   98 70 73 22 77 61 34 16 68 36 84 33 31 10 94 59 32 85 28 65 79 12 66 93 97 71 18 29 74 95 63 56 04 72 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 39 
74     98 70 73 22 77 61 34 16 68 36 84 33 31 10 94 59 32 85 28 65 79 12 66 93 97 71 18 29 74 95 63 56 04 72 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 39 
19 F   98 70 73 22 77 61 34 16 68 36 84 33 31 19 94 59 32 85 28 65 79 12 66 93 97 71 18 29 74 95 63 56 04 72 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 39 
29     98 70 73 22 77 61 34 16 68 36 84 33 31 19 94 59 32 85 28 65 79 12 66 93 97 71 18 29 74 95 63 56 04 72 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 39 
46 F   98 70 73 22 77 46 34 16 68 36 84 33 31 19 94 59 32 85 28 65 79 12 66 93 97 71 18 29 74 95 63 56 04 72 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 39 
26 F   98 70 73 22 77 46 34 16 68 36 84 33 31 19 94 59 32 85 28 65 79 12 66 93 97 71 18 29 74 95 63 56 04 26 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 39 
26     98 70 73 22 77 46 34 16 68 36 84 33 31 19 94 59 32 85 28 65 79 12 66 93 97 71 18 29 74 95 63 56 04 26 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 39 
94     98 70 73 22 77 46 34 16 68 36 84 33 31 19 94 59 32 85 28 65 79 12 66 93 97 71 18 29 74 95 63 56 04 26 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 39 
41 F   98 70 73 22 77 46 34 16 68 36 84 33 31 19 94 59 32 85 28 41 79 12 66 93 97 71 18 29 74 95 63 56 04 26 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 39 
24 F   98 70 73 22 77 46 34 16 68 36 84 33 31 19 94 59 24 85 28 41 79 12 66 93 97 71 18 29 74 95 63 56 04 26 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 39 
98     98 70 73 22 77 46 34 16 68 36 84 33 31 19 94 59 24 85 28 41 79 12 66 93 97 71 18 29 74 95 63 56 04 26 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 39 
47     98 70 73 22 77 46 34 16 68 36 84 33 31 19 94 59 24 85 28 41 79 12 66 93 97 71 18 29 74 95 63 56 04 26 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 39 
99 F   98 70 73 22 77 46 34 16 68 36 84 33 31 19 94 59 24 99 28 41 79 12 66 93 97 71 18 29 74 95 63 56 04 26 02 27 13 50 76 15 78 47 67 37 90 52 43 25 96 39 
