Replacement Policy = FIFO
-------------------------------------
Page   Content of Frames
79 F   26 75 61 41 35 01 03 10 94 59 85 28 79 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
66 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
77 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
59     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
71 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
18 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
76     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
67     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
50     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
50     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
74     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
95 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
63 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
73 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
67     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
93     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
56 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
18     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
27 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
33 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
77     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
04 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
56     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
13     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
29 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
15 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
13     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
76     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
78 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
43     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
13     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
34 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
74 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
97 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
47 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
68 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
37 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
25     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
52 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
67     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
90     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
02 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
12 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
63     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
76     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
96     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
94     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
59     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
98 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 98 50 76 96 08 90 67 11 58 19 43 25 14 69 
79     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 98 50 76 96 08 90 67 11 58 19 43 25 14 69 
22 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 98 22 76 96 08 90 67 11 58 19 43 25 14 69 
39 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 98 22 39 96 08 90 67 11 58 19 43 25 14 69 
70 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 98 22 39 70 08 90 67 11 58 19 43 25 14 69 
28     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 98 22 39 70 08 90 67 11 58 19 43 25 14 69 
18     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 98 22 39 70 08 90 67 11 58 19 43 25 14 69 
56     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 98 22 39 70 08 90 67 11 58 19 43 25 14 69 
16 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 98 22 39 70 16 90 67 11 58 19 43 25 14 69 
31 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 98 22 39 70 16 31 67 11 58 19 43 25 14 69 
36 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 98 22 39 70 16 31 36 11 58 19 43 25 14 69 
84 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 98 22 39 70 16 31 36 84 58 19 43 25 14 69 
74     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 98 22 39 70 16 31 36 84 58 19 43 25 14 69 
19     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 98 22 39 70 16 31 36 84 58 19 43 25 14 69 
29     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 98 22 39 70 16 31 36 84 58 19 43 25 14 69 
46 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 98 22 39 70 16 31 36 84 46 19 43 25 14 69 
26     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 98 22 39 70 16 31 36 84 46 19 43 25 14 69 
26     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 98 22 39 70 16 31 36 84 46 19 43 25 14 69 
94     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 98 22 39 70 16 31 36 84 46 19 43 25 14 69 
41     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 98 22 39 70 16 31 36 84 46 19 43 25 14 69 
24 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 98 22 39 70 16 31 36 84 46 24 43 25 14 69 
98     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 98 22 39 70 16 31 36 84 46 24 43 25 14 69 
47     26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 98 22 39 70 16 31 36 84 46 24 43 25 14 69 
99 F   26 75 61 41 35 01 03 10 94 59 85 28 79 66 77 71 18 95 63 73 56 27 33 04 29 15 78 34 74 97 47 68 37 52 02 12 98 22 39 70 16 31 36 84 46 24 99 25 14 69 
